user_id,first_name,last_name,phone,email,password,active,create_date,hire_date,manager,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,Anna,Graham,9288975020,AGraham@dp.com,1234,1,2022-01-03,2022-05-01,0,2,3,2,4,2,3,2,2,3,2,3,3,2,2,3,3
2,Jean,Poole,7033910181,JPoole@dp.com,1234,1,2022-01-03,2022-05-01,0,4,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3
3,Paige,Turner,2083583387,PTurner@dp.com,1234,1,2022-01-03,2022-05-01,0,3,3,4,4,3,4,3,3,3,4,3,3,4,3,3,4
4,Sally,Forth,6263758426,SForth@dp.com,1234,1,2022-01-03,2022-05-01,0,1,2,1,2,1,2,2,2,2,2,1,3,1,1,2,2
5,Shandra,Lear,4062357488,SLear@dp.com,1234,1,2022-01-03,2022-05-01,0,4,3,4,3,3,4,3,3,3,4,3,3,3,4,4,4
6,Ben,Dover,2537322708,BDover@dp.com,1234,1,2022-01-03,2022-05-01,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,Skip,Dover,2107406827,SDover@dp.com,1234,1,2010-01-03,2010-05-01,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,Duane,Pipe,7037866141,DPipe@dp.com,1234,1,2010-01-03,2010-05-01,0,2,3,2,3,2,3,3,2,3,2,3,2,3,2,2,3
9,Jay,Walker,2088997066,JWalker@dp.com,1234,1,2022-01-03,2022-05-01,0,3,3,3,2,2,3,2,3,3,3,3,2,3,3,2,2
10,Rocky,Rhoades,6277563679,RRhoades@dp.com,1234,1,2022-01-03,2022-05-01,0,3,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3
11,Jason,Fletcher,8014044268,JFletcher@dp.com,1234,1,2000-01-01,2000-01-01,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,Ben,Nicklaus,8014044268,BNicklaus@dp.com,1234,1,2000-01-01,2000-01-01,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,Brenon,Graves,8014044268,BGraves@dp.com,1234,1,2005-01-01,2005-01-01,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
